date,day_name,business_day_no,is_close_day,close_type,sales_target_daily,recognized_target_daily,sales_actual_cum,recognized_actual_cum,memo
2026-07-01	수	1	Y	월초특수	35.31066929	32.17241764			
2026-07-02	목	2	N	일반	2.648300197	2.412931323			전일마감으로 일반영업일 운영
2026-07-03	금	3	N	일반	2.648300197	2.412931323			
2026-07-06	월	4	Y	월마감	15.00703445	13.6732775			
2026-07-07	화	5	N	일반	2.648300197	2.412931323			
2026-07-08	수	6	N	일반	2.648300197	2.412931323			
2026-07-09	목	7	Y	목마감	13.24150099	12.06465661			
2026-07-10	금	8	N	일반	2.648300197	2.412931323			
2026-07-13	월	9	Y	월마감	13.24150099	12.06465661			
2026-07-14	화	10	N	일반	2.648300197	2.412931323			
2026-07-15	수	11	N	일반	2.648300197	2.412931323			
2026-07-16	목	12	Y	목마감	8.827667323	8.04310441			
2026-07-20	월	13	Y	월마감	10.59320079	9.651725292			
2026-07-21	화	14	N	일반	2.648300197	2.412931323			
2026-07-22	수	15	N	일반	2.648300197	2.412931323			
2026-07-23	목	16	Y	목마감	7.944900591	7.238793969			
2026-07-24	금	17	N	일반	2.648300197	2.412931323			
2026-07-27	월	18	Y	월마감	7.944900591	7.238793969			
2026-07-28	화	19	N	일반	2.648300197	2.412931323			
2026-07-29	수	20	Y	최종마감	8.827667323	8.04310441			
